name,type,resourceGroup,location,publicEndpoint,vnet,subnet
cog-openai-pe-1-oygf3jjanv6um.nic.befcd56b-338c-4df4-a763-b7fbae5042d3,Microsoft.Network/networkInterfaces,rg-hbai-lz2,swedencentral,,,
openai3-oygf3jjanv6um,Microsoft.CognitiveServices/accounts,rg-hbai-lz2,swedencentral,https://openai3-oygf3jjanv6um.openai.azure.com,,
cog-openai-pe-2-oygf3jjanv6um,Microsoft.Network/privateEndpoints,rg-hbai-lz2,swedencentral,,,
cog-openai-pe-2-oygf3jjanv6um.nic.058ed7a0-4b58-4533-b212-fa1bc784b21c,Microsoft.Network/networkInterfaces,rg-hbai-lz2,swedencentral,,,
apim-oygf3jjanv6um,Microsoft.ApiManagement/service,rg-hbai-lz2,swedencentral,,,
id-usage-oygf3jjanv6um,Microsoft.ManagedIdentity/userAssignedIdentities,rg-hbai-lz2,swedencentral,,,
funcusageoygf3jjanv6um,Microsoft.Storage/storageAccounts,rg-hbai-lz2,swedencentral,,,
stqueue-pe-oygf3jjanv6um,Microsoft.Network/privateEndpoints,rg-hbai-lz2,swedencentral,,,
sttable-pe-oygf3jjanv6um,Microsoft.Network/privateEndpoints,rg-hbai-lz2,swedencentral,,,
stfile-pe-oygf3jjanv6um,Microsoft.Network/privateEndpoints,rg-hbai-lz2,swedencentral,,,
stblob-pe-oygf3jjanv6um,Microsoft.Network/privateEndpoints,rg-hbai-lz2,swedencentral,,,
stqueue-pe-oygf3jjanv6um.nic.81c65fb9-502c-4a1c-a1cc-8f29bd854429,Microsoft.Network/networkInterfaces,rg-hbai-lz2,swedencentral,,,
sttable-pe-oygf3jjanv6um.nic.e0e9e69f-a5e8-429b-b348-55e375f61e45,Microsoft.Network/networkInterfaces,rg-hbai-lz2,swedencentral,,,
stfile-pe-oygf3jjanv6um.nic.d3596ccb-1af7-454e-8402-9cbbb369a060,Microsoft.Network/networkInterfaces,rg-hbai-lz2,swedencentral,,,
stblob-pe-oygf3jjanv6um.nic.5c7d2c38-a7b0-4853-8c1a-828f079942ec,Microsoft.Network/networkInterfaces,rg-hbai-lz2,swedencentral,,,
Failure Anomalies - appi-func-oygf3jjanv6um,microsoft.alertsmanagement/smartDetectorAlertRules,rg-hbai-lz2,global,,,
Failure Anomalies - appi-apim-oygf3jjanv6um,microsoft.alertsmanagement/smartDetectorAlertRules,rg-hbai-lz2,global,,,
hosting-plan-logic-usage-oygf3jjanv6um,Microsoft.Web/serverFarms,rg-hbai-lz2,swedencentral,,,
logic-usage-oygf3jjanv6um,Microsoft.Web/sites,rg-hbai-lz2,swedencentral,,,
azuremonitorlogs,Microsoft.Web/connections,rg-hbai-lz2,swedencentral,,,
funcusageoygf3jjanv6um-f91c8490-c999-4ec0-9791-034965461ae8,Microsoft.EventGrid/systemTopics,rg-hbai-lz2,swedencentral,,,
